"Time","act_mode3","act_mode4","pump_output_control_state","act_mode1","M2 state (+10)"
2023-09-18 10:33:56,16,1,21,1,11
2023-09-18 10:33:58,16,1,21,1,11
2023-09-18 10:34:00,16,1,21,1,11
2023-09-18 10:34:02,16,1,21,1,11
2023-09-18 10:34:04,16,1,21,1,11
2023-09-18 10:34:06,16,1,21,1,11
2023-09-18 10:34:07,16,1,21,1,11
2023-09-18 10:34:09,16,1,21,1,11
2023-09-18 10:34:12,16,1,21,1,11
2023-09-18 10:34:14,16,1,21,1,11
2023-09-18 10:34:16,16,1,21,1,11
2023-09-18 10:34:18,16,1,21,1,11
2023-09-18 10:34:20,16,1,21,1,11
2023-09-18 10:34:22,16,1,21,1,11
2023-09-18 10:34:24,16,1,21,1,11
2023-09-18 10:34:26,16,1,21,1,11
2023-09-18 10:34:28,16,1,21,1,11
2023-09-18 10:34:30,16,1,21,1,11
2023-09-18 10:34:32,16,1,21,1,11
2023-09-18 10:34:34,16,1,21,1,11
2023-09-18 10:34:36,16,1,21,1,11
2023-09-18 10:34:38,16,1,21,1,11
2023-09-18 10:34:40,16,1,21,1,11
2023-09-18 10:34:42,16,1,21,1,11
2023-09-18 10:34:44,16,1,21,1,11
2023-09-18 10:34:46,16,1,21,1,11
2023-09-18 10:34:48,16,1,21,1,11
2023-09-18 10:34:50,16,1,21,1,11
2023-09-18 10:34:51,16,1,21,1,11
2023-09-18 10:34:53,16,1,21,1,11
2023-09-18 10:34:55,16,1,21,1,11
2023-09-18 10:34:57,16,1,21,1,11
2023-09-18 10:34:59,16,1,21,1,11
2023-09-18 10:35:01,16,1,21,1,11
2023-09-18 10:35:03,16,1,21,1,11
2023-09-18 10:35:05,16,1,21,1,11
2023-09-18 10:35:07,16,1,21,1,11
2023-09-18 10:35:09,16,1,21,1,11
2023-09-18 10:35:11,16,1,21,1,11
2023-09-18 10:35:13,16,1,21,1,11
2023-09-18 10:35:15,16,1,21,1,11
2023-09-18 10:35:17,16,1,21,1,11
2023-09-18 10:35:19,16,1,21,1,11
2023-09-18 10:35:21,16,1,21,1,11
2023-09-18 10:35:23,16,1,21,1,11
2023-09-18 10:35:25,16,1,21,1,11
2023-09-18 10:35:27,16,1,21,1,11
2023-09-18 10:35:29,16,1,21,1,11
2023-09-18 10:35:30,16,1,21,1,11
2023-09-18 10:35:31,16,1,21,1,11
2023-09-18 10:35:33,16,1,21,1,11
2023-09-18 10:35:36,16,1,21,1,11
2023-09-18 10:35:37,16,1,21,1,11
2023-09-18 10:35:39,16,1,21,1,11
2023-09-18 10:35:41,16,1,21,1,11
2023-09-18 10:35:43,16,1,21,1,11
2023-09-18 10:35:44,16,1,21,1,11
2023-09-18 10:35:46,16,1,21,1,11
2023-09-18 10:35:48,16,1,21,1,11
2023-09-18 10:35:51,16,1,21,1,11
2023-09-18 10:35:53,16,1,21,1,11
2023-09-18 10:35:55,16,1,21,1,11
2023-09-18 10:35:57,16,1,21,1,11
2023-09-18 10:35:59,16,1,21,1,11
2023-09-18 10:36:01,16,1,21,1,11
2023-09-18 10:36:02,16,1,21,1,11
2023-09-18 10:36:04,16,1,21,1,11
2023-09-18 10:36:06,16,1,21,1,11
2023-09-18 10:36:08,16,1,21,1,11
2023-09-18 10:36:10,16,1,21,1,11
2023-09-18 10:36:12,16,1,21,1,11
2023-09-18 10:36:14,16,1,21,1,11
2023-09-18 10:36:16,16,1,21,1,11
2023-09-18 10:36:18,16,1,21,1,11
2023-09-18 10:36:20,16,1,21,1,11
2023-09-18 10:36:22,16,1,21,1,11
2023-09-18 10:36:24,16,1,21,1,11
2023-09-18 10:36:25,16,1,21,1,11
2023-09-18 10:36:27,16,1,21,1,11
2023-09-18 10:36:28,16,1,21,1,11
2023-09-18 10:36:30,16,1,21,1,11
2023-09-18 10:36:32,16,1,21,1,11
2023-09-18 10:36:34,16,1,21,1,11
2023-09-18 10:36:37,16,1,21,1,11
